input_text,answer
where is hallmark channel home and family filmed,"Los Angeles, California"
which term means the study of the nature and causes of disease,pathology
what is the poorest county in the state of florida,Union
who sings i can't take my eyes off of you,Frankie Valli
who plays colin on young and the restless,Tristan Rogers
how many indian astronauts have gone to space,2
what is the width of a cricket bat,no more than 4.25 inches
why did ric flair go back to wcw,February 1993
where does the light reaction of photosynthesis occur,on the thylakoid membranes
who has appeared in the most royal rumbles,Shawn Michaels
where did the last name taylor originate from,Old French
american horror story freak show girl kidnapped by clown,Bonnie Lipton
who won the most mvp awards in the nba,Kareem Abdul-Jabbar
who plays sven in the santa clarita diet,Leo Howard
who did corbin dance with on dancing with the stars,Karina Smirnoff
who plays harley quinn in the lego batman movie,Jenny Slate
how many different kinds of pokemon cards are there,eleven
what is australia's location in the world and region,Oceania
batman and robin episode only fools and horses,"""Heroes and Villains"""
who is the supreme justice of the supreme court,John Roberts
when did the government change the retirement age,2015
how oxygenated blood returns to the heart from the lungs,pulmonary circulation
who has won the most f1 grand prix,Michael Schumacher
how many games does a team have to win for the world series,best-of-seven
what happens when an air mass is pushed up and over a mountain range,Orographic lift
who said life is like a bowl of cherries,Lew Brown
who said have you no sense of decency,Joseph Nye Welch
where did the ancestors of the domestic goat originate,Iran
how many episodes in season 4 of last ship,10
what is the highest base on the ph scale,greater than 14
where is the love meaning of the song,lament on various worldwide problems
who played marius in the movie les miserables,Eddie Redmayne
who played chaka on land of the lost tv show,Phillip Paley
who sold the most records elvis or the beatles,The Beatles
bosnia and herzegovina croatia macedonia and slovenia all used to be parts of,Yugoslavia
how many quarterbacks have a receiving touchdown in the superbowl,1
how many seasons of johnny bravo are there,four
who plays drew's boyfriend on the night shift,Rick
who plays nikko in the wizard of oz,Patrick Walshe
who stole the mona lisa from the louvre in 1911,Vincenzo Peruggia
when does brooklyn nine nine season 5 episode 12,"March 18, 2018"
who played john clark sr on nypd blue,Joe Spano
who played peter benton's sister on er,Jackie Robbins
who plays the voice of john smith in pocahontas,Mel Gibson
who is the girl who played in the grinch,Taylor Michel Momsen
who wrote the theme to last of the mohicans,Dougie MacLean
when does mexico play in the winter olympics,9 to 25 February 2018
who dies in the lost city of z,Manley
when was the last time the vikings made the superbowl,in the 1970s
what is the name of the muslim dress,hijab
when does the new saw 8 come out,"October 27, 2017"
when were cigarette ads banned from tv uk,1 August 1965
who recorded i can't help falling in love with you,Elvis Presley
when did india win their first cricket match,1952
when does grey's anatomy come back on in march,"March 1, 2018"
what channel does thursday night football come on regular tv,NBC
who is new prime minister of italy 2018,TBD
what is the speed of the nascar pace car,pit road speed
who won the silver medal in womens figure skating,Evgenia Medvedeva
who was the first imperial power that was fighting in vietnam,France
who is the captain of richmond football club,Trent Cotchin
who is the first indian climber of mount everest,Bachendri Pal
who votes to elect a rajya sabha memmber,state legislatures
how many episodes curse of oak island season 5,18
who played mr thatcher in when calls the heart,Garwin Sanford
who plays cesar in the show on my block,Diego Tinoco
who was the pinkerton detective agency's first female detective,Kate Warne
who played harley in harley davidson and the marlboro man,Mickey Rourke
where did they get the vibranium to make captain americas shield,Wakanda
who plays the short cop on will and grace,Ryan Pinkston
what is loihi and where does it originate from,from the Hawaii hotspot
anastomosis between the epididymis and the vas deferens,Vasoepididymostomy
who played ricky in secret life of the american teenager,Daren Maxwell Kagasoff
what is the meaning of the name sinead,God forgave/God gratified
in florida it is illegal to sell alcohol before 1 pm on any sunday. this is an example of,Blue laws
who played the original wonder woman on tv,Lynda Carter
the man in the high castle episode 1 season 1,The New World
who is the voice of the other mother in coraline,Teri Hatcher
when was the last time the dodgers played yankees in the world series,1981
who has the highest paid contract in the nba,Stephen Curry
who got the most passing yards in the nfl,Peyton Manning
bacterial cell walls are made rigid by the presence of,Peptidoglycan
how many medals did austria win in the 2011 alpine skiing world championships,8
when did the flash first appear on arrow,second season
when did the continental congress vote to adopt the declaration of independence,"July 2, 1776"
where does the us launch space shuttles from,Florida
a country having an island location and a country having continental location,Australia
when were 7 books removed from the bible,1546
what percentage of global man-made co2 emissions comes from worldwide aviation,4 percent cumulative effect
how long has tom brady been playing professional football,18-season career
what is one element a topographic map shows,relief
spyder from once upon a time in venice,Jason Momoa
who won mark and goal of the year 2017,Joe Daniher
who said i'll gladly pay you tuesday,Wimpy
where is the 7th game of the world series played,"Dodger Stadium, Los Angeles"
what side does us army go on acu,the right
who sang it's a mean old world,T-Bone Walker
who was the inventor who developed a way to record sound,Thomas Edison
who became a leader of the indian national congress,Mahatma Gandhi
who has the most sacks in college football,Mike Czerwien
what does zonia receive from reuben in the play,kiss
who is the guy who walked across the twin towers,Philippe Petit
turkish finnish and hungarian belong to which family of languages,Uralic languages
who sponsored the phoenix open before waste management,Friedman Billings Ramsey
who came up with the theory of relativity,Albert Einstein
where does prime rib come from on a cow,the primal rib
what does it mean to fuse the spine,joins two or more vertebrae
who took control of jamestown and made new rules that made everyone work,John Smith
who presides over the highest criminal court in a district,District Judge
who played stonewall jackson in gods and generals,Stephen Lang
who won britain's next top model 2016,Chloe Keenan
where do they film take me out fernando's,Club Bijou on Chapel Street
who played booster in jingle all the way,Curtis Armstrong
what was the united states foreign policy after ww1 started,neutrality
which nfl coach has the most superbowl rings,Bill Belichick
who wrote the theme song for the winter olympics,Leo Arnaud
when did little polveir win the grand national,1989
when is the next episode of flash airing,"May 8, 2018"
when did the democratic party change its name,the 1830s
who did michael showers play on vampire diaries,The Man
where does the largest amount of federal tax revenue come from,California
where does wild caught sockeye salmon come from,the Northern Pacific Ocean
who is the girl that played darlene in roseanne,Sara Gilbert
who does tyler end up with in you get me,Ali
when was i look at the world poem written,30–31 October 2000
what is the year round weather in dubai,tropical desert climate
who played g baby in the movie hardball,DeWayne Warren
when was where have all the flowers gone written,1955
when was the wheel introduced to north america,about 1500 BC
who was named african footballer of the year 2014,Yaya Touré
who formed and first came to the colony of maryland,the English
what is the biggest town in west virginia,Charleston
who died in the first episode of stranger things,Benny
who plays zoey in i love you man,Rashida Jones
which is the default file extension for an audio file in windows media player,Windows Playlist (WPL)
to aru kagaku no railgun s episode 3,Project Radio Noise
1 the bureau of land management manages over acres of land in the united states,247.3 million
who said everyone will be famous for 15 minutes,Andy Warhol
when does the new adventure time come out,"April 21, 2017"
dynamin is associated with which type of vesicle,newly formed vesicles
who made the nuclear model of an atom,Ernest Rutherford
when does the little couples new season start,"September 19, 2017"
who played mrs warboys in one foot in the grave,Doreen Mantle
who does tony end up with on skins,Michelle
what is the population of fayetteville north carolina,"204,408 in 2013"
who owns the biggest house in beverly hills,Anthony Pritzker
when is the flash coming back after christmas,"January 16, 2018"
where do the signals for apoptosis come from,from other cells
when did the battles of lexington and concord happen,"April 19, 1775"
who has the most number one single hits,The Beatles
where did the river thames start and end,"Thames Estuary, North Sea"
where is a simple gear train used in real life,Automobile drivetrains
when was the last time the seattle seahawks won the superbowl,2013
who said one man's vulgarity is another's lyric,Justice Harlan
who does claire from mcleods daughters end up with,Alex Ryan
what's the dwarf's name in game of thrones,Tyrion Lannister
who plays the queen in victoria and abdul,Judi Dench
when is last time the astros won the world series,2017
when did drop it like it's hot release,"September 12, 2004"
china in chinese is called zhongguo which means,Central States
what is the name of the compound p4010,Phosphorus pentoxide
who played joey's agent estelle on friends,June Gable
who is the sixth president of the united states,John Quincy Adams
who won the food network star in 2016,Tregaye Fraser
where did this case of product tampering occur,the Chicago metropolitan area
what happens to water that infiltrates the soil if it is not absorbed by the roots of plants,runoff
who plays bianca in that's so raven,Erica Rivera
the south west wind blows across nigeria between,till September
who is the lead singer of collective soul,Ed Roland
who is known as the father of indian constitution,Bhimrao Ramji Ambedkar
when did the united kingdom entered world war 2,1939
where does jack ryan live in patriot games,"Baltimore, Maryland"
when does season 8 for blue bloods start,"September 29, 2017"
nobel laureate who began career as accountant in calcutta,Amartya Sen
what order do the captain america movies go in,Captain America: Civil War
how many times have the golden state warriors been to the playoffs,nine
who plays emma in air bud world pup,Brittany Paige Bouck
who was the qb for the saints before drew brees,Aaron Brooks
when was the last time someone won the super bowl back to back,2004
who has the best nba record this season,Houston Rockets
who was the main character in their eyes were watching god,Janie Crawford
who bowled the last over of the 2007 world twenty20 that india won,Pakistan
when is the last time wisconsin missed the ncaa tournament,1997–98
mention the chemical change that proinsulin undergo to be able to act as mature insulin,post translational modification
who is the girl in the hinder video lips of an angel,Emmanuelle Chriqui
when did the name of bombay change to mumbai,1995
when does season 7 game of thrones dvd release,"December 12, 2017"
what is the origin of the word celsius,the Swedish astronomer Anders Celsius
what is the official slogan for the 2018 winter olympics,Passion. Connected.
who plays justin on the haves and the have nots,Nicholas James
who sings only love can break your heart,Neil Young
who sings ive loved you for a thousand years,Christina Perri
when was the first case of alzheimer's diagnosed,1901
who is the longest serving chief minister in india as on jan 2015,Jyotirindra Basu
joined mexico and the united states to form nafta,Canada
who was the chief guest of 2014 republic day,Prime Minister Shinzo Abe
who does the civil rights act of 1964 protect,all Americans
when does season 8 of shameless come back,"November 5, 2017"
the heart muscle is stimulated to contract by electrical impulses which are generated where,the sinoatrial node
who scored the most points in their nba career,Kareem Abdul-Jabbar
what is the meaning of the name gomez,man
where was the first t20 cricket match played,Lord's
who has won the most masters green jackets,Jack Nicklaus
who was appointed to manage the national recovery administration,Hugh S. Johnson
who want to be a millionaire calls his dad,Carpenter
who played shaggy in the new scooby doo movie,Matthew Lyn Lillard
who is the song diamonds and rust about,Bob Dylan
who played king theoden in lord of the rings,Bernard Hill
what country shares borders with both belarus and romania,Ukraine
where was harry potter and the deathly hallows part 1 filmed,on location
how many farmers are there in the usa,3.2 million
what culture region is germany a part of,Central Germany
what was guantanamo bay before it was a prison,Guantanamo Bay Naval Base
who wrote most of the declaration of independance,Thomas Jefferson
where do kidneys for kidney transplant come from,living-donor
what song did the titanic band play when it sank,"""Autumn"""
when is the new series of keeping faith starting,13 February 2018
who won the first medal in olympics for india,Norman Pritchard
first jnanpith award was an autor of which language,Malayalam
who does the voice of stewie family guy,Seth MacFarlane
who played david on the assassination of gianni versace,Cody Fern
what is the democracy of the united states,federal republic
who plays grace in the secret life of the american teenager,Megan Park
where did the rulers of the qing dynasty originate,Manchuria
when is the new season of chicago pd,"September 27, 2017"
who does the voice of ash in sing,Scarlett Johansson
who sang original i want a hippopotamus for christmas,Gayla Peevey
roman god of the underworld also called orcus or pluto,Dis Pater
where does the donkey talk in the bible,Numbers 22:28
who played jennifer in back to the future,Claudia Grace Wells
where was the italian episode of everybody loves raymond filmed,Anguillara Sabazia outside of Rome
when was the last bear killed in the uk,c. 1000 AD
what was the book wealth of nations about,what builds nations' wealth
most consecutive games with 20+ points - nba history,126
who was the first president of the constituent assembly,Dr. Rajendra Prasad
what is the purse for the senior open,$2 million in 2011
when did american idol end the first time,"April 7, 2016"
who played anna in once upon a time,Elizabeth Dean Lail
when was the drinking age set to 21,By mid-1988
what is the meaning of auv in cars,action utility vehicles
who monitor the recovery of the location during a disaster,management team
in texas how is the commissioner of insurance placed in office,Appointed
which city is called the manchester of north india,Ahmedabad
who sang the american anthem at the super bowl,Pink
mount everest is part of what mountain range,Himalayas
what was the most important new religious figure of the new kingdom of ancient egypt,Aten
what is the average salary for a us congressman,"$174,000"
what was the full name of the titanic,RMS Titanic
who wrote the book my country my life,L. K. Advani
winner of first series of great british bake off,Edd Kimber
who plays the dad in the new beauty and the beast,Kevin Kline
when does season 3 of the riveras start,"March 11, 2018"
who has won more national championships michigan or ohio state,Michigan
when did lynyrd skynyrd's plane crash happen,"October 20, 1977"
when did dragon ball super tournament of power start,"February 19, 2017"
what is the meaning of lord shiva lingam,reminds of the Omnipotent Lord
who is the queen of hearts in alice in wonderland,the primary antagonist
the octet rule states that in chemical compounds atoms tend to have the electron configuration of a,noble gas
where is the hotel used in the movie the shining,The Stanley Hotel
when was the titanic started to be built,31 March 1909
when does the first nba basketball game start,"October 17, 2017"
when did refrigerator perry play for the bears,1985–1993
who came up with the idea of the transcontinental railroad,Dr. Hartwell Carver
the elements in each period have the same number of,electron shells
when is the new season of wentworth coming out,19 June 2018
who won latest america's next top model,Kyla Coleman
when did the soviet union first gain control of parts of poland and the baltic republics,14 June 1940
who played nathan scott on one tree hill,James Martin Lafferty
who died doing the luge in the olympics,Nodar Kumaritashvili
who plays dr. sloan on kevin saves the world,Richard Masur
when was clash royale released in the us,"March 2, 2016"
what was vietnam called in the years before world war 2,French Indochina
third president of the united states of america,Thomas Jefferson
who played stumpy in the movie rio bravo,Walter Brennan
what is the dogs name in wizard of oz,Toto
when does the next warrior book come out,"April 10, 2018"
where do the greasers live in the outsiders,"Tulsa, Oklahoma"
trick taking card game name derived from spanish for man,Skat
from whose perspective is the story of all quiet on the western front told,Paul Baumer
what was the meaning of the song puff the magic dragon,the hardships of growing older
a player that can shoot pass or dribble is considered to be,Triple threat
who was the temple of vesta built for,Vesta
how many states have a cracker barrel restaurant,43
what is the meaning of gorakh dhanda in urdu,You are a Puzzle
who was the first english child born in north america,Virginia Dare
how do you say zest for life in french,Joie de vivre
who sings the song you'll never find another love like mine,Lou Rawls
who is dylan's father in bates motel,"Norma's brother, Caleb"
in which country bikram sambhat the official calender,Nepal
when does middle-earth shadow of mordor come out,September 2014
where is the bread plate located in a formal setting,at each place
when was the last time vancouver had an earthquake,1946
when does canada switch to daylight savings time,the second Sunday of March
how much of the world's diamonds does de beers own,33% in 2013
where did the ashes from ash wednesday originate,Pope Gregory I the Great
how much square feet is a basketball court,94 by 50 feet
who sings i don't want to be lonely,Ronnie Dyson
who has been chosen as the brand ambassador of the campaign 'beti bachao-beti padhao,Sakshi Malik
when is the second half of vikings season 5 coming out,2018
what is a whistle blower suit under the false claims act,qui tam
where is the oldest house in america located,Taos Pueblo
who was the walker rick killed in the first episode,Addy Miller
where did aeneas go when he left carthage,Sicily
vapor pressure of water at 100c in torr,759.9625
who owns the rights to rocky and bullwinkle,Universal Pictures
first day collection of mission china assamese film,₹ 39.97 lakh
where do the florida marlins have spring training,Roger Dean Stadium
who played santa in the santa clause movies,Tim Allen
who issued gold coins for the first time in india,Gupta Empire
which greek god flew too close to the sun,Icarus
when does star trek discovery air on tv,"September 19, 2017"
when did earth's atmosphere change due to living organisms,around 2.45 billion years ago
where in the bible are the 12 disciples,Acts 1:13
who came up with popcorn at the movies,Glen W. Dickson
when did clifford the big red dog first air on tv,"September 4, 2000"
when is episode 12 of miraculous ladybug season 2 coming out,30 March 2018
who sang the most number of songs in the world,Asha Bhosle
who sings i will go down with this ship,Dido
when did the right to buy scheme start,1980
when did the wave hill walk off end,16 August 1975
when does the new episode of scorpion come on,"January 15, 2018"
who sings the songs in crazy ex girlfriend,Rachel Bloom
how many winnie the pooh books are there,four
wolf of wall street number of f words,569
who represented the state of tennessee in the scopes trial,William Jennings Bryan
who won the marathon in new york city,Geoffrey Kamworor
what is the setting of the story sorry wrong number,Manhattan
does archie end up with betty or veronica in riverdale,Betty
when did this season of american idol start,"March 11, 2018"
what was the outcome of the battle of san juan hill,Cuban-American victory
who sings the christmas song all i want for christmas is you,Mariah Carey
when was christmas first celebrated as a holiday,336
when was the last time the dodgers went to the world seris,2012
when did teenage mutant ninja turtles come out,1984
when were 2 dollar bills stopped being made,current denomination of U.S. currency
where does the president get authority to issue executive orders,Constitution
how long do you have to serve in the israeli military,two years for women
dark parables return of the salt princess release date,September 2017
what is the most current adobe flash player version,28.0.0.137
who plays lindsay denton in line of duty,Keeley Clare Julia Hawes
when did the first wireless beats come out,October 2012
when did the philadelphia eagles play in the super bowl last,Super Bowl LII
what is the word for clarified butter in the balkans and middle east,smen
where is fight or flight in the brain,the adrenal medulla
the road that connects the tombs is called,"""Spirit Way"""
where did the idea of a unicorn come from,Greek writers of natural history
who's the model on let's make a deal,Tiffany Adams Coyne
uruguay is located along what body of water,Bay of Montevideo
when does the second part of vikings season 4 start,"November 30, 2016"
who donates a christmas tree to trafalgar square,"Oslo, Norway"
when was the original stephen king it movie made,1990
who plays ser davos in game of thrones,Liam Cunningham
when did the botswana currency first come into circulation,1976
who plays dylan in daddy's home 2,Owen Vaccaro
who is nebula on guardians of the galaxy,Karen Gillan
what is the significance of the sahara desert,the largest hot desert
who is the pastor of new birth missionary baptist church now,Stephen A. Davis
where did saudi crown prince go to college,King Saud University
what is the definition of ph in water,potential of hydrogen
ajay devgan preity zinta and madhuri dixit movie,Yeh Raaste Hain Pyaar Ke
when did virgin australia (formerly virgin blue) commence flying in australia,November 1999
who created separation of powers and checks and balances,Montesquieu in the Enlightenment
how many episodes of sabrina the teenage witch are there,163
1. what was the precursor to the present day internet,the ARPANET project
who was the first british team to win the european cup,Celtic
which type of fire detector uses the effect of smoke on a light source and photo-electric cell,optical smoke detector
who do you meet at the gates of heaven,Saint Peter
when was the last time nebraska voted democrat,1964
winner of worst cooks in america season 5,Amber Brauner
when does the movie jeepers creepers come out,"September 26, 2017"
who got the first nobel prize in physics,Wilhelm Conrad Röntgen
who's the guy in call me maybe,Holden Nowell
what is the longest river in the united states,Missouri River
when was the japanese videogame company nintendo founded,23 September 1889
how old do you have to be to get a gun licence in nz,16 or older
when did indoor toilets become common in america,After World War I
who won the king of dance season 2,LAAB Crew From Team Sherif
who sings in walk hard the dewey cox story,John C. Reilly
where are the san juan mountains in new mexico,northwestern New Mexico
who won last year's grand national 2017,One For Arthur
who played daisy duke in the new dukes of hazzard,Jessica Simpson
who plays the dad in drake and josh,Jonathan Goldstein
what do mobile numbers start with in the uk,0
where is the lost dutchman's mine supposed to be located,in the southwestern United States
who is known as father of green revolution in india,Mankombu Sambasivan Swaminathan
who brought the idea of castles to england,Norman invaders
who won the fountain of youth stakes at gulfstream park,Gunnevera
who was the nfl first draft pick 2017,Myles Garrett
what type of dog was laika the spacedog,mongrel female
who has scored more goals in the premier league,Alan Shearer
who plays kevins shrink on kevin probably saves the world,Richard Masur
when did britain set up east indian trading company,31 December 1600
where was the movie jeremiah johnson filmed at,Utah
where does a wrinkle in time take place,Connecticut
what year did the golden state warriors win their first nba championship,1947
when was the last time new england had a hurricane,Hurricane Hanna
where does the sciatic nerve run in the foot,on the posterior aspect
who won the workd series of poker 2017,Scott Blumstein
who wrote hit me baby one more time,Max Martin
who wrote the book the origin of species,Charles Darwin
where does the red river start and end in louisiana,the Texas Panhandle
what is the official symbol of the carnival of quebec,Bonhomme Carnaval
who played the middle sister on full house,Jodie Sweetin
who plays caesar planet of the apes 2014,Andy Serkis
when was the last time dallas cowboys won the super bowl,1995
when did goku first go super saiyan 4,Dragon Ball GT
who was the first woman to win who wants to be a millionaire,Judith Cynthia Aline Keppel
who sings for the beast in the new movie,Dan Stevens
an edge that is between a vertex and itself is a,loop
who took part in the american civil war,nationalists of the Union
when was the last time a hurricane hit massachusetts,"November 3, 2007"
who plays elsa's aunt in once upon a time,Elizabeth Mitchell
where are trigger points located in the body,muscles
who sings that aint no way to go,Brooks & Dunn
where did they get the tree for rockefeller center,"State College, PA"
when does bill nye saves the world season 2 come out,"December 29, 2017"
what was the purpose of the bantu education act,enforcing racially separated educational facilities
fast & furious 8 release date in india,"April 12, 2017"
who wrote the song be thankful for what you got,William DeVaughn
when did scotland last qualify for world cup,1998
what kind of food did the woolly mammoth eat,grass and sedges
when was the movie the king and i made,1956
who is considered the father of modern behaviorism,John B. Watson
when did to kill a mockingbird become popular,1960
what language is the olympic anthem sang in,Greek
what's the difference between salisbury steak and hamburger steak,ingredients
who received the most (but not a majority of) electoral votes in 1824,Andrew Jackson
where does the papillary layer of the skin lie,adjacent to the epidermis
who is the original singer of you re going to love me,Jennifer Holliday
suffix applied to the end of the name of enzymes,-ase
what type of business is chamber of commerce,a form of business network
who directed the best years of our lives,William Wyler
the assassination of gianni versace american crime story season 2 episode 2,Manhunt
when's the last time the philadelphia eagles played the new england patriots,in Super Bowl LII
who was the first indian to be appointed as a judge in the international court of justice,Sir Benegal Narsing Rau
who is the all time leading scorer in ncaa tournament history,Pete Maravich
how many times has lake placid hosted the winter olympics,twice
when is i can only imagine coming out,"March 16, 2018"
who is the robot in lost in space 2018,Brian Steele
where was robin hood prince of thieves made,the United Kingdom
who has the most goals in soccer 2018,Ali Daei
when does it's a wonderful life comes on,Christmas season
who wrote the original little red riding hood story,Charles Perrault
where is the inscription on the statue of liberty,The New Colossus
what is the top speed of thrust ssc,"1,228 km/h"
where is the oldest civilization known to man,Mesopotamia
how many lines of symmetry are there in a equilateral triangle,3
has been honoured with the wisden leading cricketer in the world award for 2016,Virat Kohli
what is the number of total presidential electoral votes,538
what is the breakdown product formed when one phosphate group is removed from atp,adenosine diphosphate (ADP)
what tool is available from microsoft as an alternative to the usmt for smaller migrations,Windows Easy Transfer
when is the season finale of designated survivor,"May 16, 2018"
who is the girl that died in eyes wide shut,Mandy
who is the prime minister of india full name,Narendra Modi
who was the grandfather on the cosby show,Earle Hyman
when did ohio state join the big 10,1912
when did the ouija board first come out,"July 1, 1890"
how long is a prime minister term in uk,At Her Majesty's pleasure
where does the optic nerve cross the midline ​,optic chiasm
who sang the theme song from russia with love,Matt Monro
where does the song 10 green bottles come from,United Kingdom
what kind of national legislature did the constitution created,bicameral Congress
vikram samvat calender is official in which country,Nepal
when did one child policy end in china,"January 1, 2016"
what was generally the preferred way for european powers to control colonial regions,Indirect rule
which is the only test playing nation that india has never beat in t20,Scotland
who does the voice of nelson on simpsons,Nancy Jean Cartwright
who won the gold for the men's figure skating,Yuzuru Hanyu
who sang the song tell me something good,Rufus and Chaka Khan
who is the present rajya sabha speaker of india,Venkaiah Naidu
who is the book of galatians written to,the churches of Galatia
panda is a national animal of which country,China
when does star wars battlefront 2 com out,"November 17, 2017"
doric ionic and corinthian orders all refer to types of,architecture
consist of the sum of the fixed and variable costs for any given level of production,total cost (TC)
how old was sasuke when his clan died,seven
who wrote how do you do it by gerry and the pacemakers,Mitch Murray
the first vice president of india who become the president letter was,Sarvepalli Radhakrishnan
where does the cell spend most of its time in the cell cycle,Interphase
surface area in many kinds of organs is important because the amount of surface determines,effective gas exchange
who has majority in the house and senate,Republican
what is the highest scoring letter in scrabble,Q
where did the book small steps take place,"Austin, Texas"
when did bihar bifurcate from bengal and some parts of chota nagpur merged into bengal,1912
how many series of diary of a wimpy kid are there,12
who sings theme tune to orange is the new black,Spektor
what channel is abc on in phoenix arizona,15
when does jim propose to pam on the office,In the Season 5 premiere
who dies in akame ga kill night raid,Tatsumi
who played mary in christmas with the kranks,Felicity Huffman
when does dragon ball super episode 113 start,"October 29, 2017"
how many episodes is ash vs evil dead season 3,10
what is the song in red dead redemption,Far Away
who is the head of the department of homeland security 2017,Kirstjen Nielsen
who is the ceo of what's up,Jan Koum
who scored the most points in a single game in the nba,Wilt Chamberlain
when was the design period known as art deco,1910–1939
disagreements involving slavery and states' rights were two of the main causes of,the American Civil War
what was the biggest tank in world war 2,Panzerkampfwagen VIII Maus
what does the c stand for chrysler 300c,coupe
who plays the walking boss in cool hand luke,Morgan Woodward
who was the first lady nominated member of the rajya sabha,Mary Kom
who played charles on when calls the heart,Steve Bacic
how many wins does tiger woods have on the pga tour,79
who has the most subscribers in faze clan,FaZe Rug
where was the movie a walk among the tombstones filmed,New York City
where does the paraguay river start and end,Paraná River
who plays red on orange is new black,"""Kate"" Mulgrew"
what was the name of the plant on little shop of horrors,Audrey II
what nba player has scored the most 3 pointers,Ray Allen
wal-mart is a prime example of which type organization,multinational retail corporation
who won season 8 of america's next top model,Jaslene Gonzalez
who is john snow on game of thrones,Kit Harington
when was the last easter that fell on april 1st,2018
what was the city of beijing previously known as,Peking
the secret of crickley hall how many episodes,3
who does the voice of the gorilla in the movie sing,Taron Egerton
when did billy don't be a hero come out,1974
when does the regular season start in mlb,"March 29, 2018"
where does the name loyola university come from,St. Ignatius of Loyola
where did the term spirits for alcohol come from,Middle Eastern alchemy
when does south by southwest start in austin texas,mid-March
the joint between a coxal bone of the pelvis and the sacrum,sacroiliac joint
who wrote the phantom of the opera music,Andrew Lloyd Webber
when was nepal declared a secular state in bs,"January 15, 2007"
who is next in line to inherit the british throne,"Charles, Prince of Wales"
when did toyota first come to the united states,1957
who plays the main character in hacksaw ridge,Andrew Garfield
where did you go to drink during prohibition,Speakeasies
what was the actual year that the movie regarding the titans took place,1971
who plays frankie’s sister teddy on grace and frankie,Talia Shire
who lives in the blue house in balamory,Edie McCredie
who played lead guitar on 25 or 6 to 4,Terry Kath
who is credited with the discovery of the neutron,James Chadwick
when does zay come to girl meets world,"May 13, 2015"
what is cain and abel software used for,password recovery
who has given the theory of unbalanced economic growth,Hirschman
when were the first general elections held in independent india,1951–52
who plays steve's wife on my three sons,Beverly Garland
vine with heart shaped leaves and white flowers,Antigonon leptopus
who played the first phantom of the opera,Michael Crawford
when is the new jurassic world game coming out,"June 12, 2018"
what part of brain is responsible for complex thinking,the frontal lobe
who is the owner of the mandalay bay in vegas,MGM Resorts International
who owns spirit of the suwannee music park,The Cornett family
where does the last name baca come from,New Mexico
who voiced simba in the lion king 2,Matthew Broderick
when does rick and morty play on tv,late-night
how many nfl teams has st louis had,four
when did season 4 of glee come out,"September 13, 2012"
who sings i want to dance with you,George Strait
who sang my bucket got a hole in it,Hank Williams
when does star trek discovery season 1 end,"February 11, 2018"
why did kevin can't wait wife leave the show,creative reasons
who plays janie in the search for santa paws,G. Hannelius
who produced a change is gonna come,Hugo & Luigi
who sang theme song for license to kill,Gladys Knight
who sings my anaconda don't want none,Sir Mix-a-Lot
who wrote i can feel at home in this world anymore,Macon Blair
what is the meaning of the word autumn,fall
who is the speaker in shooting an elephant,Orwell
when is dancing on ice on the tv,2019
where does the term the west come from,the Roman Empire
who played john coffey in the movie the green mile,Michael Clarke Duncan
where's the tv show the crossing filmed,"British Columbia, Canada"
when does god of war ghost of sparta take place,ancient Greece
who sings the song i want to go outside in the rain,Milira
who sang one bad apple spoils the bunch,The Osmonds
when does the new season on the 100 come out,"April 24, 2018"
who plays the woodsman in over the garden wall,Christopher Lloyd
what is the job of justice of the peace,dispense summary justice
what is the largest magnitude earthquake that has occurred in the pacific northwest,The 1700 Cascadia earthquake
who did michigan state play in the rose bowl,Stanford Cardinal
when did the ncaa tournament became more important than the nit,By the mid-1980s
where does junior want to go to find hope,off the rez
when was the last time mount ruapehu erupted,25 September 2007
who built the first temple for god in jerusalem,Solomon
who does the voice of salem the cat,"Nicholas ""Nick"" Bakay"
who did the central powers defeat on the eastern front before concentrating back on france,the Russian army
when was the lupus foundation of america founded,1977
where did the legend of the easter bunny come from,German Lutherans
when did the tv show the waltons first air,September 1972
when was the statue of liberty in france built,Paris
what is the largest man made lake in the us,Lake Oahe
when was child benefit paid for the first child,1975
who is the oldest wrestler that is still wrestling,Dory Funk Jr.
what's the name of the last mission impossible movie,Mission: Impossible – Fallout
gabbar is back is a remake of which telugu movie,Tagore
who sang it going to take a miracle,The Royalettes
winner of the women's royal rumble match,Asuka
where was the last scene of the danish girl filmed,the Mount Mannen in Norway
where was the movie 500 days of summer filmed,Los Angeles
i want to be with you everywhere song,Everywhere
who is playing the halftime show for the superbowl,Justin Timberlake
german word for pleasure from someone else's pain,Schadenfreude
actress who plays penelope garcia on criminal minds,Kirsten Simone Vangsness
when did the soviet union start and end,in Eurasia
when was the bridge over the hoover dam built,2010
who has the most votes for the all star game,fan voting
when did john hart play the lone ranger,from 1952 until 1953
who was assassinated during a visit to sarajevo in bosnia,Archduke Franz Ferdinand of Austria
who won big brother head of household canada,Kaela
who is the authority or governing body of mca,Indian government
who played junior on in the heat of the night,Christian LeBlanc
which domain of life are humans members of,Eukarya
who does the voice of the elephant in sing,Tori Kelly
who propounded the idea of basic education in india,Mahatma Gandhi
who is the most followed user on instagram 2017,Instagram's own account
how many champions league trophies does arsenal have,13
when is the next deadpool movie being released,"May 18, 2018"
who wrote the song fly me to the moon,Bart Howard
